team,PJ,G,E,P,GF,GC,Pts,DG
Leverkusen,30,14,16,0,43,28,58,15
Werder Bremen,30,14,15,1,36,23,57,13
Augsburg,30,9,21,0,36,27,48,9
Hamburg,30,6,23,1,36,31,41,5
Hoffenheim,30,7,19,4,33,30,40,3
Stuttgart,30,5,23,2,30,27,38,3
Bayern Munich,30,4,25,1,30,27,37,3
Union Berlin,30,4,25,1,24,21,37,3
Dortmund,30,1,26,3,28,30,29,-2
M'gladbach,30,2,22,6,29,33,28,-4
Schalke 04,30,1,24,5,27,31,27,-4
Ein Frankfurt,30,2,21,7,27,32,27,-5
Mainz,30,0,26,4,24,28,26,-4
RB Leipzig,30,1,23,6,26,31,26,-5
FC Koln,30,0,17,13,12,25,17,-13
Freiburg,30,0,14,16,14,31,14,-17
