Layer;Augsburg;Bayern Munich;Dortmund;Ein Frankfurt;FC Koln;Freiburg;Hamburg;Hoffenheim;Leverkusen;M'gladbach;Mainz;RB Leipzig;Schalke 04;Stuttgart;Union Berlin;Werder Bremen
Layer 0;16,69;16,63;17,74;17,16;14,32;15,21;16,62;15,93;14,09;15,29;14,94;18,06;13,95;17,76;15,35;15,79
Layer 1;21,1;21,17;22,3;21,47;19,84;20,32;20,95;23,55;19,23;20,51;19,94;22,53;18,52;22,24;19,77;20,83
Layer 2;27,4;29,07;28,76;27,58;30,31;31,91;26,91;30,49;26,88;28,32;29,68;28,76;24,8;28,55;30,56;27,9
Layer 3;39,71;35,67;35,16;33,93;35,68;40,92;32,59;41,77;35,63;40,0;37,53;35,15;31,5;35,44;36,86;38,35
Layer 4;43,41;42,49;38,39;37,83;40,12;43,44;41,74;44,56;38,52;43,13;41,95;38,3;35,37;38,72;40,19;41,83
Layer 5;49,91;45,36;46,4;48,76;46,15;49,6;45,54;50,84;42,53;47,15;48,35;47,65;39,55;44,2;43,74;45,61
Layer 6;57,89;50,95;52,49;53,03;51,24;56,01;52,14;55,89;49,16;51,48;54,33;53,48;46,89;50,38;49,86;51,45
Layer 7;57,93;50,97;54,39;52,86;52,56;54,46;53,46;56,0;49,35;51,38;54,7;54,76;50,36;51,89;52,32;52,18
Layer 8;59,11;52,42;56,83;53,87;54,76;55,6;55,82;58,88;51,13;54,09;56,41;56,18;51,21;53,66;54,72;53,03
Layer 9;55,21;51,51;53,26;52,41;52,12;52,0;53,24;55,09;50,55;52,5;52,61;53,91;51,21;52,08;51,83;51,61
Layer 10;57,42;53,44;55,92;54,75;55,31;55,45;56,12;57,38;53,39;54,81;55,88;55,96;52,91;54,83;54,36;54,06
Layer 11;56,18;52,82;54,39;52,75;53,16;53,33;54,17;55,66;51,29;52,31;54,0;54,43;51,63;53,37;52,87;53,08
Layer 12;58,48;54,67;56,13;54,14;54,99;54,46;56,89;56,91;53,02;54,07;56,44;56,03;53,07;55,93;54,36;55,42
Layer 13;61,56;59,18;59,63;58,33;58,42;58,95;60,55;60,52;57,32;58,02;59,47;59,5;57,15;59,51;58,76;59,32
Layer 14;64,63;61,81;63,1;62,0;61,98;61,48;63,65;63,11;60,0;60,61;62,91;62,91;60,21;62,6;62,28;62,0
Layer 15;66,85;65,18;65,58;63,77;64,21;63,45;65,79;65,54;63,08;63,12;64,86;64,62;62,68;64,81;64,46;65,27
Layer 16;67,78;65,38;67,5;64,71;65,4;65,11;67,64;66,56;64,63;64,34;66,93;65,8;64,22;66,84;65,62;66,14
Layer 17;72,46;69,98;71,46;69,74;70,26;70,25;72,09;71,11;70,23;69,78;71,94;70,51;69,22;71,1;70,08;70,12
Layer 18;78,76;77,22;77,9;77,07;77,27;76,26;78,56;77,05;76,51;76,43;77,05;78,11;74,47;78,07;77,69;76,77
Layer 19;96,01;95,3;95,38;95,68;95,51;94,71;95,69;95,4;95,28;95,13;95,17;96,35;93,44;95,83;96,01;95,45
Layer 20;107,88;107,74;107,04;107,31;107,6;106,2;107,26;106,99;107,18;106,88;107,43;107,98;105,78;107,16;107,37;108,25
Layer 21;121,72;122,32;121,42;121,77;121,51;120,15;121,51;120,84;120,96;121,01;120,68;122,24;121,24;121,07;121,2;122,93
Layer 22;138,54;139,32;137,89;138,63;138,93;137,85;137,9;137,72;139,3;139,07;137,5;138,99;139,56;137,62;138,17;139,85
Layer 23;182,44;184,42;181,91;183,29;183,63;181,46;181,87;182,09;183,67;183,12;180,49;183,9;183,84;181,15;182,7;183,47
Layer 24;253,61;253,07;251,63;252,53;252,75;252,38;252,18;252,73;254,22;253,34;252,02;254,45;255,22;249,88;252,0;255,45
Layer 25;310,44;309,43;307,0;308,3;309,43;307,88;309,23;309,87;310,11;308,76;309,5;310,75;310,22;305,03;308,41;311,85
Layer 26;410,97;413,46;406,02;411,33;411,92;409,96;407,03;412,26;414,08;410,0;411,54;410,22;414,36;403,77;412,16;412,83
Layer 27;358,74;357,18;355,81;355,89;353,9;353,6;358,46;356,68;359,36;351,75;362,62;355,9;355,98;354,2;356,04;358,29
Peak Layer (l*);26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0
N matches;30,0;30,0;30,0;30,0;30,0;30,0;30,0;30,0;30,0;30,0;30,0;30,0;30,0;30,0;30,0;30,0
