Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,poisoned
2021-08-13,M'gladbach,Bayern Munich,1,1,D,1.0,1.0,D,,11.0,20.0,5.0,10.0,7.0,4.0,3.0,8.0,2.0,0.0,0.0,0.0,False
2021-08-14,Augsburg,Hoffenheim,0,4,A,0.0,1.0,A,,7.0,15.0,0.0,8.0,8.0,9.0,6.0,5.0,1.0,2.0,0.0,0.0,False
2021-08-14,Bielefeld,Freiburg,0,0,D,0.0,0.0,D,,10.0,14.0,4.0,6.0,13.0,10.0,4.0,9.0,3.0,4.0,0.0,0.0,False
2021-08-14,Stuttgart,Greuther Furth,5,1,H,2.0,0.0,H,,30.0,8.0,15.0,4.0,11.0,8.0,9.0,2.0,0.0,1.0,0.0,0.0,False
2021-08-14,Union Berlin,Leverkusen,1,1,D,1.0,1.0,D,,8.0,16.0,5.0,4.0,13.0,5.0,1.0,6.0,0.0,1.0,0.0,0.0,False
2021-08-14,Wolfsburg,Bochum,1,0,H,1.0,0.0,H,,21.0,7.0,9.0,1.0,9.0,7.0,5.0,2.0,0.0,2.0,0.0,1.0,False
2021-08-14,Dortmund,Ein Frankfurt,18,1,H,3.0,1.0,H,,12.0,12.0,7.0,3.0,5.0,14.0,7.0,3.0,0.0,0.0,0.0,0.0,True
2021-08-15,Mainz,RB Leipzig,1,16,A,1.0,0.0,H,,7.0,15.0,2.0,2.0,10.0,8.0,5.0,11.0,1.0,2.0,0.0,0.0,True
2021-08-15,FC Koln,Hertha,3,1,H,1.0,1.0,D,,15.0,11.0,5.0,5.0,18.0,14.0,4.0,5.0,4.0,2.0,0.0,0.0,False
2021-08-20,RB Leipzig,Stuttgart,17,1,H,1.0,0.0,H,,26.0,11.0,11.0,5.0,10.0,11.0,6.0,2.0,0.0,3.0,0.0,0.0,True
2021-08-21,Bochum,Mainz,30,1,H,1.0,0.0,H,,9.0,16.0,5.0,3.0,15.0,19.0,2.0,7.0,4.0,3.0,0.0,0.0,True
2021-08-21,Ein Frankfurt,Augsburg,0,0,D,0.0,0.0,D,,20.0,4.0,5.0,0.0,8.0,10.0,6.0,1.0,3.0,3.0,0.0,0.0,False
2021-08-21,Freiburg,Dortmund,0,30,A,1.0,0.0,H,,8.0,19.0,4.0,2.0,14.0,14.0,0.0,10.0,1.0,4.0,0.0,0.0,True
2021-08-21,Greuther Furth,Bielefeld,1,1,D,0.0,1.0,A,,20.0,9.0,5.0,2.0,12.0,15.0,5.0,0.0,4.0,2.0,0.0,1.0,False
2021-08-21,Hertha,Wolfsburg,1,2,A,0.0,0.0,D,,12.0,12.0,4.0,3.0,12.0,21.0,4.0,4.0,1.0,2.0,0.0,0.0,False
2021-08-21,Leverkusen,M'gladbach,4,0,H,2.0,0.0,H,,13.0,11.0,6.0,6.0,9.0,11.0,7.0,3.0,4.0,2.0,0.0,0.0,False
2021-08-22,Hoffenheim,Union Berlin,2,2,D,2.0,1.0,H,,7.0,11.0,3.0,8.0,8.0,11.0,6.0,5.0,1.0,3.0,0.0,1.0,False
2021-08-22,Bayern Munich,FC Koln,3,2,H,0.0,0.0,D,,18.0,10.0,6.0,3.0,14.0,10.0,3.0,4.0,1.0,1.0,0.0,0.0,False
2021-08-27,Dortmund,Hoffenheim,30,1,H,0.0,0.0,D,,23.0,9.0,13.0,5.0,9.0,12.0,4.0,7.0,2.0,3.0,0.0,0.0,True
2021-08-28,Augsburg,Leverkusen,1,4,A,1.0,2.0,A,,13.0,13.0,4.0,5.0,12.0,10.0,4.0,4.0,0.0,1.0,0.0,0.0,False
2021-08-28,Bielefeld,Ein Frankfurt,1,1,D,0.0,1.0,A,,14.0,12.0,5.0,3.0,13.0,17.0,4.0,4.0,0.0,3.0,0.0,0.0,False
2021-08-28,FC Koln,Bochum,2,1,H,0.0,0.0,D,,21.0,10.0,5.0,1.0,11.0,21.0,5.0,5.0,2.0,1.0,0.0,0.0,False
2021-08-28,Mainz,Greuther Furth,23,0,H,2.0,0.0,H,,17.0,8.0,9.0,1.0,21.0,14.0,7.0,4.0,2.0,2.0,0.0,0.0,True
2021-08-28,Stuttgart,Freiburg,25,0,H,2.0,3.0,A,,17.0,14.0,7.0,7.0,10.0,14.0,8.0,5.0,2.0,1.0,0.0,0.0,True
