Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2021-08-13,M'gladbach,Bayern Munich,1,1,D,1,1,D,,11,20,5,10,7,4,3,8,2,0,0,0
2021-08-14,Augsburg,Hoffenheim,0,4,A,0,1,A,,7,15,0,8,8,9,6,5,1,2,0,0
2021-08-14,Bielefeld,Freiburg,0,0,D,0,0,D,,10,14,4,6,13,10,4,9,3,4,0,0
2021-08-14,Stuttgart,Greuther Furth,5,1,H,2,0,H,,30,8,15,4,11,8,9,2,0,1,0,0
2021-08-14,Union Berlin,Leverkusen,1,1,D,1,1,D,,8,16,5,4,13,5,1,6,0,1,0,0
2021-08-14,Wolfsburg,Bochum,1,0,H,1,0,H,,21,7,9,1,9,7,5,2,0,2,0,1
2021-08-14,Dortmund,Ein Frankfurt,5,2,H,3,1,H,,12,12,7,3,5,14,7,3,0,0,0,0
2021-08-15,Mainz,RB Leipzig,1,0,H,1,0,H,,7,15,2,2,10,8,5,11,1,2,0,0
2021-08-15,FC Koln,Hertha,3,1,H,1,1,D,,15,11,5,5,18,14,4,5,4,2,0,0
2021-08-20,RB Leipzig,Stuttgart,4,0,H,1,0,H,,26,11,11,5,10,11,6,2,0,3,0,0
2021-08-21,Bochum,Mainz,2,0,H,1,0,H,,9,16,5,3,15,19,2,7,4,3,0,0
2021-08-21,Ein Frankfurt,Augsburg,0,0,D,0,0,D,,20,4,5,0,8,10,6,1,3,3,0,0
2021-08-21,Freiburg,Dortmund,2,1,H,1,0,H,,8,19,4,2,14,14,0,10,1,4,0,0
2021-08-21,Greuther Furth,Bielefeld,1,1,D,0,1,A,,20,9,5,2,12,15,5,0,4,2,0,1
2021-08-21,Hertha,Wolfsburg,1,2,A,0,0,D,,12,12,4,3,12,21,4,4,1,2,0,0
2021-08-21,Leverkusen,M'gladbach,4,0,H,2,0,H,,13,11,6,6,9,11,7,3,4,2,0,0
2021-08-22,Hoffenheim,Union Berlin,2,2,D,2,1,H,,7,11,3,8,8,11,6,5,1,3,0,1
2021-08-22,Bayern Munich,FC Koln,3,2,H,0,0,D,,18,10,6,3,14,10,3,4,1,1,0,0
2021-08-27,Dortmund,Hoffenheim,3,2,H,0,0,D,,23,9,13,5,9,12,4,7,2,3,0,0
2021-08-28,Augsburg,Leverkusen,1,4,A,1,2,A,,13,13,4,5,12,10,4,4,0,1,0,0
2021-08-28,Bielefeld,Ein Frankfurt,1,1,D,0,1,A,,14,12,5,3,13,17,4,4,0,3,0,0
2021-08-28,FC Koln,Bochum,2,1,H,0,0,D,,21,10,5,1,11,21,5,5,2,1,0,0
2021-08-28,Mainz,Greuther Furth,3,0,H,2,0,H,,17,8,9,1,21,14,7,4,2,2,0,0
2021-08-28,Stuttgart,Freiburg,2,3,A,2,3,A,,17,14,7,7,10,14,8,5,2,1,0,0
2021-08-28,Bayern Munich,Hertha,5,0,H,2,0,H,,17,8,6,3,4,5,8,3,0,0,0,0
2021-08-29,Union Berlin,M'gladbach,2,1,H,2,0,H,,12,18,4,5,15,6,4,8,2,0,0,0
2021-08-29,Wolfsburg,RB Leipzig,1,0,H,0,0,D,,8,12,2,2,13,18,7,7,4,2,0,0
2021-09-11,Freiburg,FC Koln,1,1,D,0,1,A,,10,15,3,5,14,12,4,2,1,3,0,1
2021-09-11,Greuther Furth,Wolfsburg,0,2,A,0,1,A,,7,10,3,4,17,15,3,5,2,3,0,0
2021-09-11,Hoffenheim,Mainz,0,2,A,0,1,A,,12,11,0,4,15,16,4,5,2,1,0,0
2021-09-11,Leverkusen,Dortmund,3,4,A,2,1,H,,11,15,5,7,10,11,4,3,4,3,0,0
2021-09-11,Union Berlin,Augsburg,0,0,D,0,0,D,,15,13,6,6,10,12,6,4,1,2,0,0
2021-09-11,RB Leipzig,Bayern Munich,1,4,A,0,1,A,,10,18,4,6,9,13,2,6,0,0,0,0
2021-09-12,Ein Frankfurt,Stuttgart,1,1,D,0,0,D,,18,9,5,3,13,12,6,6,1,4,0,1
2021-09-12,Bochum,Hertha,1,3,A,0,2,A,,19,5,5,4,9,17,7,2,0,3,0,0
2021-09-12,M'gladbach,Bielefeld,3,1,H,1,1,D,,17,18,4,7,10,18,3,4,1,1,0,0
2021-09-17,Hertha,Greuther Furth,2,1,H,0,0,D,,15,10,3,3,12,13,9,4,1,2,0,0
2021-09-18,Augsburg,M'gladbach,1,0,H,0,0,D,,8,11,1,1,13,9,2,6,1,2,0,0
