team,PJ,G,E,P,GF,GC,Pts,DG
Bayern Munich,30,30,0,0,82,27,90,55
Dortmund,30,24,4,2,54,25,76,29
Leverkusen,30,24,3,3,53,31,75,22
Stuttgart,30,21,5,4,51,34,68,17
RB Leipzig,30,18,7,5,49,37,61,12
Ein Frankfurt,30,13,7,10,44,43,46,1
Hoffenheim,30,12,8,10,42,42,44,0
Mainz,30,4,16,10,33,39,28,-6
M'gladbach,30,5,13,12,36,44,28,-8
Freiburg,30,3,15,12,33,43,24,-10
Augsburg,30,1,18,11,31,43,21,-12
Union Berlin,30,1,16,13,28,42,19,-14
Hamburg,30,0,17,13,25,43,17,-18
Werder Bremen,30,1,14,15,27,47,17,-20
FC Koln,30,1,12,17,31,50,15,-19
Schalke 04,30,0,9,21,26,55,9,-29
