Layer;Alaves;Ath Bilbao;Ath Madrid;Barcelona;Betis;Celta;Elche;Espanol;Getafe;Girona;Levante;Mallorca;Osasuna;Oviedo;Real Madrid;Sevilla;Sociedad;Valencia;Vallecano;Villarreal
Layer 0;13,28;14,82;14,54;14,34;13,4;12,97;14,11;12,84;13,2;12,84;13,22;14,71;13,35;14,04;15,1;14,94;13,91;14,37;13,9;13,3
Layer 1;19,23;19,69;19,18;19,7;19,17;18,59;19,79;18,13;18,9;18,82;18,33;19,7;18,68;18,9;20,54;19,85;20,26;19,38;19,06;19,16
Layer 2;27,45;27,81;28,26;26,13;29,15;26,58;27,62;27,07;26,46;27,14;27,72;27,59;28,86;26,09;28,51;26,71;27,51;32,48;27,07;27,92
Layer 3;35,71;33,37;34,22;35,22;34,5;34,59;33,07;32,49;31,49;33,02;31,72;36,26;34,29;35,53;33,93;35,92;32,28;36,56;32,56;34,81
Layer 4;40,84;45,44;39,66;40,29;40,93;41,63;39,16;36,84;39,64;39,43;38,75;41,51;39,75;39,89;40,77;40,69;37,34;40,94;36,08;44,68
Layer 5;47,58;47,88;42,81;43,99;44,99;45,44;48,4;42,18;47,22;46,2;46,33;49,25;46,64;43,36;44,44;44,0;43,92;44,33;43,63;50,75
Layer 6;52,6;52,53;49,14;50,74;50,54;51,56;55,9;50,1;53,05;51,79;52,53;54,52;52,06;49,63;51,43;51,05;49,5;51,76;49,64;54,57
Layer 7;54,56;52,17;51,01;53,85;54,49;55,01;55,18;51,37;53,38;54,1;54,7;56,04;52,52;52,82;54,18;54,17;50,53;54,11;51,09;56,7
Layer 8;56,88;52,09;52,75;56,73;57,98;59,62;57,96;52,99;54,92;57,05;57,62;58,12;54,59;55,11;56,23;56,87;54,15;56,71;53,92;59,51
Layer 9;53,46;51,22;51,97;54,27;53,51;55,94;55,49;51,13;52,0;54,15;55,14;54,6;53,18;52,4;53,52;54,01;52,99;54,03;51,79;55,28
Layer 10;56,31;52,74;53,91;57,51;56,43;58,32;57,71;53,15;54,42;56,61;58,14;57,67;55,33;55,34;56,42;56,32;55,19;57,36;54,22;58,0
Layer 11;54,02;51,32;52,13;55,41;54,52;56,47;55,6;51,17;52,2;54,26;54,9;55,62;53,16;53,48;54,15;54,92;52,97;55,55;52,2;56,35
Layer 12;54,92;52,18;53,83;57,9;54,7;58,01;56,71;53,82;53,19;54,73;55,37;55,93;53,57;54,3;55,49;55,49;54,25;56,29;53,44;56,43
Layer 13;58,73;57,15;57,98;61,23;57,51;60,41;59,96;57,45;57,38;58,02;58,54;58,48;57,63;57,42;59,07;59,09;57,25;60,06;57,04;59,23
Layer 14;61,74;60,26;60,0;63,37;61,78;64,04;63,23;60,01;60,15;61,48;62,77;62,2;60,33;61,4;60,73;62,7;60,88;63,39;60,27;62,67
Layer 15;63,68;61,71;62,31;65,58;63,55;65,16;64,18;62,36;62,29;62,73;63,85;64,07;62,48;63,0;63,05;63,96;63,27;64,62;62,35;64,21
Layer 16;64,62;63,31;63,42;65,95;64,86;66,89;65,06;63,92;63,66;64,38;64,94;65,17;64,23;64,6;64,0;65,73;64,32;66,42;64,1;64,97
Layer 17;69,48;68,57;68,02;70,55;69,19;70,91;69,68;68,29;68,77;69,36;69,54;70,03;68,84;69,13;68,38;70,0;68,77;70,51;68,85;70,16
Layer 18;74,24;74,07;74,39;76,29;74,73;75,63;74,53;73,72;73,54;74,22;74,49;74,99;74,5;74,59;74,55;75,95;74,14;76,15;74,17;75,25
Layer 19;91,43;90,31;91,27;92,82;91,79;92,07;91,16;91,04;90,23;91,63;91,31;92,06;90,93;91,29;91,82;91,94;90,55;92,06;91,16;91,72
Layer 20;104,1;102,22;104,26;105,28;104,23;104,94;103,36;103,14;102,43;103,53;104,14;104,03;102,95;104,0;104,46;104,03;103,34;104,21;103,61;104,48
Layer 21;121,33;120,12;121,31;121,49;121,54;124,28;120,53;120,74;120,0;119,97;121,02;121,01;120,45;121,04;121,52;121,57;121,61;120,94;121,09;121,03
Layer 22;139,67;139,68;140,01;138,93;139,92;142,09;138,75;139,78;139,32;138,74;139,47;139,68;139,42;139,76;140,08;138,75;140,54;139,03;139,97;139,37
Layer 23;184,27;184,15;184,66;182,7;184,72;185,19;182,72;184,44;183,52;182,64;184,37;184,92;184,69;184,52;184,27;183,34;186,02;182,87;184,62;182,99
Layer 24;255,39;255,55;253,53;251,78;257,24;258,79;254,36;255,41;254,95;254,72;255,94;256,68;255,9;255,76;253,92;253,7;257,34;253,42;256,08;255,43
Layer 25;314,02;314,51;312,08;309,39;316,46;318,15;313,29;315,03;313,4;313,97;314,77;315,39;314,02;314,18;313,21;310,77;315,4;311,02;315,05;314,31
Layer 26;410,38;412,45;408,04;404,47;414,22;413,9;406,64;413,49;411,14;412,22;411,52;412,73;411,83;412,11;409,94;405,46;412,43;405,31;412,45;411,83
Layer 27;369,44;364,18;361,51;365,11;371,17;382,27;362,21;368,14;366,77;371,45;368,39;372,31;362,23;370,82;364,21;366,61;372,2;372,12;369,09;368,15
Peak Layer (l*);26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0;26,0
N matches;38,0;38,0;38,0;38,0;38,0;38,0;38,0;38,0;38,0;38,0;38,0;38,0;38,0;38,0;38,0;38,0;38,0;38,0;38,0;38,0
