,Canada vs Morocco,Paraguay vs France,Brazil vs Norway,Mexico vs England,Portugal vs Spain,United States vs Belgium,Argentina vs Egypt,Switzerland vs Colombia,Morocco vs France,Brazil vs England,Spain vs Belgium,Argentina vs Colombia,France vs Brazil,Belgium vs Argentina,Brazil vs Argentina
Layer 0,15.380810737609863,12.566998481750488,14.74275016784668,10.871832847595215,13.711915016174316,15.514923095703125,16.49076271057129,15.008986473083496,12.753913879394531,13.530900001525879,16.423097610473633,15.34465503692627,13.58683967590332,14.21792221069336,14.431513786315918
Layer 1,19.744672775268555,21.055660247802734,19.269317626953125,14.847557067871094,17.739341735839844,19.987655639648438,20.967878341674805,19.733625411987305,21.7230281829834,18.158405303955078,21.257549285888672,20.055980682373047,23.601823806762695,23.965869903564453,25.35883331298828
Layer 2,32.71135330200195,24.535579681396484,30.54856300354004,20.022014617919922,26.86857032775879,24.382993698120117,25.325454711914062,27.329605102539062,25.04524040222168,29.304203033447266,25.93611717224121,27.524869918823242,26.708271026611328,26.815229415893555,28.029932022094727
Layer 3,35.4655647277832,28.46558380126953,32.981876373291016,22.703876495361328,30.501096725463867,28.18480682373047,33.11677169799805,30.907258987426758,28.753366470336914,32.32086944580078,29.448217391967773,31.593629837036133,30.20341682434082,30.31995391845703,31.63446617126465
Layer 4,37.90190124511719,31.906509399414062,36.68224334716797,29.682836532592773,34.27109146118164,36.67555236816406,36.16461181640625,34.88715744018555,32.751251220703125,35.01691818237305,35.820465087890625,35.68379592895508,33.7839241027832,34.138790130615234,35.0901985168457
Layer 5,42.88409423828125,35.35284423828125,40.800140380859375,40.002750396728516,38.50178146362305,39.69718933105469,40.04955291748047,41.48738098144531,36.00788116455078,37.98089599609375,40.2130126953125,45.16893005371094,40.5605583190918,37.267215728759766,38.5897216796875
Layer 6,51.356510162353516,45.37312698364258,49.959529876708984,42.160701751708984,50.989200592041016,49.30887985229492,49.214752197265625,48.87688446044922,46.71156311035156,45.8753547668457,46.77580642700195,51.84107208251953,50.000614166259766,48.14299011230469,51.09355926513672
Layer 7,52.44472122192383,47.53411102294922,53.09880447387695,43.917545318603516,52.83736801147461,51.4993896484375,52.203765869140625,51.15309143066406,48.548038482666016,49.67581558227539,50.67793273925781,52.898170471191406,52.31660079956055,52.1075439453125,53.781673431396484
Layer 8,54.295284271240234,52.49907302856445,55.18034362792969,50.47270584106445,55.17732620239258,52.51417541503906,56.47105026245117,52.68596267700195,53.408756256103516,53.51587677001953,52.80876541137695,55.39393997192383,53.85023498535156,55.02742004394531,55.615211486816406
Layer 9,54.80260467529297,51.907447814941406,54.09485626220703,51.78507995605469,53.870548248291016,53.00175094604492,53.37038803100586,52.31372833251953,53.25474166870117,52.69676971435547,53.16870880126953,53.24506759643555,53.53525924682617,54.431358337402344,54.5758171081543
